date,attr,value,a,b,c,d
20140124,WDF5,240,,,W,
20140124,WSF2,76,,,W,
20140124,WSF5,134,,,W,
20140125,TMAX,-21,,,W,2400
20140125,TMIN,-71,,,W,2400
20140125,PRCP,10,,,W,2400
20140125,SNOW,25,,,W,
20140125,SNWD,100,,,W,
20140125,AWND,34,,,W,
20140125,WDF2,230,,,W,
20140125,WDF5,240,,,W,
20140125,WSF2,76,,,W,
20140125,WSF5,134,,,W,
20140126,TMAX,11,,,W,2400
20140126,TMIN,-82,,,W,2400
20140126,PRCP,0,,,W,2400
20140126,SNOW,0,T,,W,
20140126,SNWD,100,,,W,
20140126,WDF2,280,,,W,
20140126,WDF5,280,,,W,
20140126,WSF2,72,,,W,
20140126,WSF5,116,,,W,
20140127,TMAX,67,,,W,2400
20140127,TMIN,-60,,,W,2400
20140127,PRCP,0,,,W,2400
20140127,SNOW,0,,,W,
20140127,SNWD,80,,,W,
20140127,AWND,35,,,W,
20140127,WDF2,300,,,W,
20140127,WDF5,300,,,W,
20140127,WSF2,76,,,W,
20140127,WSF5,134,,,W,
20140128,TMAX,-60,,,W,2400
20140128,TMIN,-110,,,W,2400
20140128,PRCP,0,,,W,2400
20140128,SNOW,0,,,W,
20140128,SNWD,30,,,W,
20140128,AWND,27,,,W,
20140128,WDF2,310,,,W,
20140128,WDF5,280,,,W,
20140128,WSF2,67,,,W,
20140128,WSF5,107,,,W,
20140129,TMAX,-49,,,W,2400
20140129,TMIN,-99,,,W,2400
20140129,PRCP,10,,,W,2400
20140129,SNOW,20,,,W,
20140129,SNWD,50,,,W,
20140129,AWND,29,,,W,
20140129,WDF2,260,,,W,
20140129,WDF5,250,,,W,
20140129,WSF2,67,,,W,
20140129,WSF5,103,,,W,
20140130,TMAX,-10,,,W,2400
20140130,TMIN,-88,,,W,2400
20140130,PRCP,0,,,W,2400
20140130,SNOW,0,,,W,
20140130,SNWD,25,,,Z,
20140130,AWND,17,,,W,
20140130,WDF2,270,,,W,
20140130,WDF5,270,,,W,
20140130,WSF2,40,,,W,
20140130,WSF5,72,,,W,
20140131,TMAX,39,,,W,2400
20140131,TMIN,-38,,,W,2400
20140131,PRCP,0,,,W,2400
20140131,SNOW,0,,,W,
20140131,SNWD,30,,,W,
20140131,AWND,22,,,W,
20140131,WDF2,260,,,W,
20140131,WDF5,260,,,W,
20140131,WSF2,63,,,W,
20140131,WSF5,94,,,W,
20140201,TMAX,72,,,W,2400
20140201,TMIN,22,,,W,2400
20140201,PRCP,0,,,W,2400
20140201,SNOW,0,,,W,
20140201,SNWD,30,,,W,
20140201,AWND,16,,,W,
20140201,WDF2,180,,,W,
20140201,WDF5,190,,,W,
20140201,WSF2,58,,,W,
20140201,WSF5,85,,,W,
20140201,WT08,1,,,W,
20140202,TMAX,133,,,W,2400
20140202,TMIN,39,,,W,2400
20140202,PRCP,0,T,,W,2400
20140202,SNOW,0,,,W,
20140202,SNWD,30,,,W,
20140202,AWND,14,,,W,
20140202,WDF2,360,,,W,
20140202,WDF5,360,,,W,
20140202,WSF2,45,,,W,
20140202,WSF5,67,,,W,
20140202,WT08,1,,,W,
20140203,TMAX,61,,,W,2400
20140203,TMIN,-27,,,W,2400
20140203,PRCP,297,,,W,2400
20140203,SNOW,203,,,W,
20140203,SNWD,30,,,W,
20140203,AWND,30,,,W,
20140203,WDF2,20,,,W,
20140203,WDF5,20,,,W,
20140203,WSF2,45,,,W,
20140203,WSF5,72,,,W,
20140204,TMAX,17,,,W,2400
20140204,TMIN,-55,,,W,2400
20140204,PRCP,0,,,W,2400
20140204,SNOW,0,,,W,
20140204,SNWD,200,,,W,
20140204,AWND,10,,,W,
20140204,WDF2,60,,,W,
20140204,WSF2,31,,,W,
20140204,WT08,1,,,W,
20140205,TMAX,11,,,W,2400
20140205,TMIN,-16,,,W,2400
20140205,PRCP,363,,,W,2400
20140205,SNOW,102,,,W,
20140205,SNWD,230,,,W,
20140205,AWND,32,,,W,
20140205,WDF2,60,,,W,
20140205,WDF5,70,,,W,
20140205,WSF2,67,,,W,
20140205,WSF5,125,,,W,
20140206,TMAX,0,,,W,2400
20140206,TMIN,-60,,,W,2400
20140206,PRCP,0,,,W,2400
20140206,SNOW,0,,,W,
20140206,SNWD,230,,,W,
20140206,AWND,18,,,W,
20140206,WDF2,310,,,W,
20140206,WDF5,310,,,W,
20140206,WSF2,58,,,W,
20140206,WSF5,85,,,W,
20140207,TMAX,0,,,W,2400
20140207,TMIN,-43,,,W,2400
20140207,PRCP,0,,,W,2400
20140207,SNOW,0,,,W,
20140207,SNWD,230,,,W,
20140207,AWND,30,,,W,
20140207,WDF2,280,,,W,
20140207,WDF5,270,,,W,
20140207,WSF2,67,,,W,
20140207,WSF5,107,,,W,
20140208,TMAX,-16,,,W,2400
20140208,TMIN,-60,,,W,2400
20140208,PRCP,0,,,W,2400
20140208,SNOW,0,,,W,
20140208,SNWD,230,,,W,
20140208,AWND,22,,,W,
20140208,WDF2,280,,,W,
20140208,WDF5,270,,,W,
20140208,WSF2,54,,,W,
20140208,WSF5,76,,,W,
20140209,TMAX,-5,,,W,2400
20140209,TMIN,-60,,,W,2400
20140209,PRCP,25,,,W,2400
20140209,SNOW,30,,,W,
20140209,SNWD,200,,,W,
20140209,AWND,16,,,W,
20140209,WDF2,270,,,W,
20140209,WDF5,270,,,W,
20140209,WSF2,54,,,W,
20140209,WSF5,89,,,W,
